Name,R_1,R_2,RRR_1,RRR_2
A16R7,3.32,3.3000000000000025,67.66559710105976,67.81747258741485
A16R8,3.1400000000000006,3.15,70.26040277030548,69.97010621488656
A17L1,2.9899999999999998,2.9899999999999998,71.7970833568226,71.7970833568226
A17L2,1.68,2.45,99.6525631876629,79.59538110746324
A17L3,1.7499999999999998,3.0800000000000005,99.6289270513348,70.76365748864274
A17L4,2.5,2.5,78.792057073657,78.792057073657
A17L5,1.68,3.2200000000000015,100.45740439836791,69.30246088141651
A17L6,3.03,1.96,71.53341464630975,90.45027015692106
A17L7,1.83,1.75,94.71351328593303,96.83501939690875
A17L8,2.4300000000000015,2.4799999999999818,79.91564766114065,79.08549669352671
A17R1,2.4299999999999997,2.450000000000002,79.9134887858741,79.59764615112702
A17R2,3.0900000000000283,1.8100000000000003,70.74825409990856,95.95614563437317
A17R3,2.4800000000000004,2.4800000000000004,79.10202191429511,79.10202191429511
A17R4,2.4000000000000004,2.5000000000000004,80.39860414416525,78.7897683364081
A17R5,1.74,2.4799999999999818,97.96870463516547,79.08549669352671
A17R6,3.32,1.93,66.69622311711481,91.38914903100921
A17R7,3.0100000000000118,3.209999999999757,71.77217049437834,67.60486835724907
A17R8,2.4300000000000015,1.81,79.91564766114065,95.8748204483924
A18L1,2.9899999999999998,2.9899999999999998,71.7970833568226,71.7970833568226
A18L2,2.5,2.5,78.792057073657,78.792057073657
A18L3,1.68,1.68,99.6525631876629,99.6525631876629
A18L4,3.1600000000000006,3.210000000000001,69.74295839809092,68.73171710454288
A18L5,1.8,1.93,95.65008800371686,91.38914903100921
A18L6,3.7,2.4300000000000015,54.73594914052305,79.91564766114065
A18L7,3.310000141193014,3.2400000000000007,67.19212096326802,67.59410659048159
A18L8,3.2400000000000007,3.3000000000097947,66.94333085452014,67.44303788811109
A18R1,2.9199999999999995,2.45,72.91920684067088,79.59538110746324
A18R2,1.7499999999999998,3.4599999999999995,99.6289270513348,61.141317629472105
A18R3,2.4299999999999997,2.4300000000000015,79.9134887858741,79.91564766114065
A18R4,3.1400000000000006,1.8299999999999998,70.26040277030548,94.32351566615597
A18R5,3.0800000000000005,3.2400000000000007,70.76365748864274,66.94333085452014
A18R6,1.82,3.15,94.98000661467277,69.97010621488656
A18R7,3.0100000000000118,3.209999999999757,71.77217049437834,67.60486835724907
A18R8,1.82,2.480000000000015,94.98000661467277,79.11108700795295
A19L1,3.2799999999999474,2.9899999999999998,68.32892020652831,71.7970833568226
A19L2,3.2099999999999995,2.560000000000002,68.37476174248951,77.8634517336402
A19L3,1.8100000000000003,1.83,95.95614563437317,94.71351328593303
A19L4,2.4000000000000004,2.4300000000000006,80.39860414416525,79.89986949478443
A19L5,3.4599999999999995,1.9499999999999997,61.141317629472105,91.06495839468394
A19L6,3.7,3.0800000000000005,54.73594914052305,70.76365748864274
A19L7,1.7300000000000002,3.16,97.7700238334445,69.84073116587685
A19L8,3.32,3.3000000000097947,67.66559710105976,67.44303788811109
A19R1,1.8,3.2799999999999994,95.65008800371686,67.87449965452625
A19R2,2.9799999999999986,2.9899999999999993,71.9167377486337,72.05491275077262
A19R3,3.08,2.4300000000000006,70.92620638880226,79.89986949478443
A19R4,3.310000141193014,3.2400000000000007,67.19212096326802,66.94333085452014
A19R5,3.289999999999999,2.9899999999999993,68.13512170581375,72.05491275077262
A19R6,2.4800000000000004,1.83,79.10202191429511,94.71351328593303
A19R7,3.08,3.3000000000097947,70.92620638880226,67.44303788811109
A19R8,1.74,2.9899999999999998,97.96870463516547,71.7970833568226
A20L1,3.32,3.310000141193014,66.69622311711481,67.19212096326802
A20L2,3.27,1.6999999999999997,66.66732040398628,101.106504622535
A20L3,1.68,1.68,99.6525631876629,99.6525631876629
A20L4,1.8,1.9499999999999997,95.65008800371686,91.06495839468394
A20L5,3.1,1.68,70.752888773442,100.45740439836791
A20L6,3.25,3.25,68.22162291037226,68.22162291037226
A20L7,1.7899999999999998,2.480000000000015,96.14625244938793,79.11108700795295
A20L8,3.2400000000000007,3.3000000000097947,66.94333085452014,67.44303788811109
A20R1,1.75,1.7699999999999998,97.93687798968394,97.37175994946976
A20R2,1.8100000000000003,3.3000000000000025,95.95614563437317,67.81747258741485
A20R3,1.67,3.210000000000001,100.31451566000446,68.73171710454288
A20R4,3.1,2.450000000000002,70.752888773442,79.59764615112702
A20R5,2.4000000000000004,1.68,80.39860414416525,99.6525631876629
A20R6,3.2099999999999995,3.16,68.37476174248951,69.84073116587685
A20R7,3.1599999999999997,3.209999999999757,70.07018630242422,67.60486835724907
A20R8,1.74,2.9899999999999998,97.96870463516547,71.7970833568226
A21L1,2.9799999999999986,3.210000000000001,71.9167377486337,68.73171710454288
A21L2,3.2799999999999474,2.45,68.32892020652831,79.59538110746324
A21L3,1.7499999999999998,1.83,99.6289270513348,94.71351328593303
A21L4,2.4000000000000004,2.5000000000000004,80.39860414416525,78.7897683364081
A21L5,1.75,1.8299999999999998,96.83501939690875,94.32351566615597
A21L6,2.400000000000003,2.4300000000000006,80.40070272144557,79.89986949478443
A21L7,3.6000000000000005,2.9899999999999993,60.43712854708486,72.05491275077262
A21L8,3.32,3.21,67.66559710105976,68.07622572204467
A21R1,1.77,3.02,96.78539546647139,71.69505965461342
A21R2,3.0900000000000283,3.3000000000000025,70.74825409990856,67.81747258741485
A21R3,2.45000000000002,1.9499999999999997,79.61488134911514,91.06495839468394
A21R4,1.71,1.68,99.29508583041603,100.45740439836791
A21R5,1.7300000000000002,1.68,97.7700238334445,99.6525631876629
A21R6,1.7899999999999998,1.81,96.14625244938793,95.8748204483924
A21R7,3.11,3.320000000000004,70.2908110941323,66.96853432549321
A21R8,2.4300000000000015,2.480000000000015,79.91564766114065,79.11108700795295
A22L1,2.9799999999999986,1.83,71.9167377486337,94.71351328593303
A22L2,3.2799999999999474,1.75,68.32892020652831,96.83501939690875
A22L3,3.6000000000000005,3.310000141193014,60.43712854708486,67.19212096326802
A22L4,3.0900000000000283,3.210000000000001,70.74825409990856,68.73171710454288
