,2Hz,5Hz,13Hz,21Hz,66Hz,150Hz,LF_Noise,HF_Noise
337.29934610990153,0,0,0,0,0,0,0,1
338.86818027785455,0,0,0,0,0,0,0,1
340.43701444580756,0,0,0,0,0,0,0,1
342.00584861376063,0,0,0,0,0,0,0,1
343.57468278171365,0,0,0,0,0,0,0,1
345.14351694966666,0,0,0,0,0,0,0,1
346.7123511176197,0,0,0,0,0,0,0,1
348.28118528557275,0,0,0,0,0,0,0,1
349.85001945352576,0,0,0,0,0,0,0,1
351.4188536214788,0,0,0,0,0,0,0,1
352.98768778943185,0,0,0,0,0,0,0,1
354.55652195738486,0,0,0,0,0,0,0,1
356.1253561253379,0,0,0,0,0,0,0,1
357.69419029329094,0,0,0,0,0,0,0,1
359.26302446124396,0,0,0,0,0,0,0,1
360.831858629197,0,0,0,0,0,0,0,1
362.40069279715,0,0,0,0,0,0,0,1
363.96952696510306,0,0,0,0,0,0,0,1
365.53836113305607,0,0,0,0,0,0,0,1
367.1071953010091,0,0,0,0,0,0,0,1
368.67602946896216,0,0,0,0,0,0,0,1
370.24486363691517,0,0,0,0,0,0,0,1
371.8136978048682,0,0,0,0,0,0,0,1
373.38253197282125,0,0,0,0,0,0,0,1
374.95136614077427,0,0,0,0,0,0,0,1
376.5202003087273,0,0,0,0,0,0,0,1
378.08903447668035,0,0,0,0,0,0,0,1
379.65786864463337,0,0,0,0,0,0,0,1
381.2267028125864,0,0,0,0,0,0,0,1
382.7955369805394,0,0,0,0,0,0,0,1
384.36437114849247,0,0,0,0,0,0,0,1
385.9332053164455,0,0,0,0,0,0,0,1
387.5020394843985,0,0,0,0,0,0,0,1
389.0708736523515,0,0,0,0,0,0,0,1
390.63970782030464,0,0,0,0,0,0,0,1
392.20854198825765,0,0,0,0,0,0,0,1
393.77737615621066,0,0,0,0,0,0,0,1
395.3462103241637,0,0,0,0,0,0,0,1
396.9150444921167,0,0,0,0,0,0,0,1
398.4838786600697,0,0,0,0,0,0,0,1
400.0527128280227,0,0,0,0,0,0,0,1
401.6215469959758,0,0,0,0,0,0,0,1
403.1903811639288,0,0,0,0,0,0,0,1
404.7592153318819,0,0,0,0,0,0,0,1
406.3280494998349,0,0,0,0,0,0,0,1
407.8968836677879,0,0,0,0,0,0,0,1
409.4657178357409,0,0,0,0,0,0,0,1
411.034552003694,0,0,0,0,0,0,0,1
412.603386171647,0,0,0,0,0,0,0,1
414.1722203396,0,0,0,0,0,0,0,1
415.74105450755303,0,0,0,0,0,0,0,1
417.30988867550604,0,0,0,0,0,0,0,1
418.8787228434591,0,0,0,0,0,0,0,1
420.44755701141213,0,0,0,0,0,0,0,1
422.0163911793652,0,0,0,0,0,0,0,1
423.5852253473182,0,0,0,0,0,0,0,1
425.15405951527123,0,0,0,0,0,0,0,1
426.72289368322424,0,0,0,0,0,0,0,1
428.29172785117726,0,0,0,0,0,0,0,1
429.86056201913027,0,0,0,0,0,0,0,1
431.4293961870834,0,0,0,0,0,0,0,1
432.9982303550364,0,0,0,0,0,0,0,1
434.5670645229894,0,0,0,0,0,0,0,1
436.13589869094244,0,0,0,0,0,0,0,1
437.70473285889545,0,0,0,0,0,0,0,1
439.27356702684847,0,0,0,0,0,0,0,1
440.8424011948015,0,0,0,0,0,0,0,1
