Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,#Segment,cryostat_group,phys_pos,Phys. Position,El. Position,Name,R_1,R_2,RRR_1,RRR_2,Short magnet ID,age,Manufacturer,Inner cable type,Outer cable type,I_Q_SM18,Renamed short magnet ID,MTF Status,Magnet_construction_order,QPS Crate Number,Cryostat Number
RB.A45,MB.B8L5,13037.0476,INT,L,A,EVEN,1,78,LBALE.8L5,LBALE_08L5,B9L5_0,DCBA.8L5.L,DFLAS.7L5.2,MB.B8L5,5,13074.4476,13029.2176,B9L5,0,79,08L5,153.0,153,78,B8L5,3.1,2.450000000000002,70.752888773442,79.59764615112702,3202,14.0,3.0,01E,02G,10082.0,,,202,0,0
RB.A45,MB.A8L5,13052.7076,INT,L,B,ODD,77,77,LBBLQ.8L5,LBBLQ_08L5,B8L5_0,DCBA.8L5.R,MB.A9L5,MB.A8L5,3,13005.8126,13044.8776,B8L5,0,77,08L5,154.0,154,77,A8L5,3.0200000000000027,1.83,71.68679046426837,94.32351566615596,2137,14.0,2.0,01E,02B8,11922.0,,,137,0,1
RB.A56,MB.A8R5,13606.1756,EXT,R,A,EVEN,1,78,LBARE.8R5,LBARE_08R5,B8R5_0,DCBQ.7R5.L,DFLAS.7R5.2,MB.A8R5,4,13583.9356,13598.3456,B8R5,0,79,08R5,1.0,1,78,A8R5,3.6000000000000005,3.2400000000000007,60.43712854708486,67.59410659048159,3344,14.0,3.0,01E,02D,12850.0,,,344,0,0
RB.A56,MB.B8R5,13621.8356,EXT,R,B,ODD,77,77,LBBRF.8R5,LBBRF_08R5,B9R5_0,DCBB.8R5.R,MB.B9R5,MB.B8R5,3,13653.0706,13614.0056,B9R5,0,77,08R5,2.0,2,77,B8R5,1.8100000000000005,3.400000000000001,95.95614563437316,65.45791952580721,3337,14.0,3.0,01E,02D,10455.0,,,337,0,1
RB.A56,MB.A9R5,13645.2406,EXT,R,A,EVEN,2,79,LBARE.9R5,LBARE_09R5,B8R5_1,DCBQ.8R5.L,MB.A8R5,MB.A9R5,3,13598.3456,13637.4106,B8R5,1,80,09R5,3.0,3,79,A9R5,3.2400000000000007,3.1799999999742785,67.59410659048159,69.74655266092758,1266,14.0,1.0,01E,02B5,12485.0,,,266,1,0
RB.A56,MB.B9R5,13660.9006,EXT,R,B,ODD,76,76,LBBRI.9R5,LBBRI_09R5,B11R5_2,DCBB.9R5.R,MB.B10R5,MB.B9R5,3,13693.5356,13653.0706,B11R5,2,76,09R5,4.0,4,76,B9R5,3.2400000000000007,3.2400000000000007,67.59410659048159,66.94333085452014,3385,14.0,3.0,01E,02G,11491.0,,,385,2,1
RB.A56,MB.A10R5,13685.7056,EXT,R,A,EVEN,3,80,LBARE.10R5,LBARE_10R5,B10R5_0,DCBQ.9R5.L,MB.A9R5,MB.A10R5,3,13637.4106,13677.8756,B10R5,0,81,10R5,5.0,5,80,A10R5,3.11,2.4300000000000006,70.2908110941323,79.89986949478443,3328,14.0,3.0,01E,02D,11571.0,,,328,0,0
RB.A56,MB.B10R5,13701.3656,EXT,R,B,ODD,75,75,LBBRF.10R5,LBBRF_10R5,B11R5_1,DCBB.10R5.R,MB.B11R5,MB.B10R5,3,13732.6006,13693.5356,B11R5,1,75,10R5,6.0,6,75,B10R5,3.32,1.93,66.69622311711481,91.3891490310092,3240,14.0,3.0,01E,02B8,12850.0,,,240,1,1
RB.A56,MB.A11R5,13724.7706,EXT,R,A,EVEN,4,81,LBARA.11R5,LBARA_11R5,B10R5_1,DCBQ.10R5.L,MB.A10R5,MB.A11R5,3,13677.8756,13716.9406,B10R5,1,82,11R5,7.0,7,81,A11R5,3.15,3.15,69.97010621488656,69.97010621488656,3319,14.0,3.0,01E,02D,9338.0,,,319,1,0
RB.A56,MB.B11R5,13740.4306,EXT,R,B,ODD,74,74,LBBRA.11R5,LBBRA_11R5,B11R5_0,DCBB.11R5.R,MB.B12R5,MB.B11R5,4,13785.3823,13732.6006,B11R5,0,74,11R5,8.0,8,74,B11R5,3.2400000000000007,3.0800000000000005,67.59410659048159,70.76365748864274,3386,14.0,3.0,01E,02G,12588.0,,,386,0,1
