,Unnamed: 0,Circuit Name,Circuit Family,Period,Date (FGC),Time (FGC),FPA Reason,Timestamp_PIC,Delta_t(FGC-PIC),Delta_t(EE_even-PIC),Delta_t(EE_odd-PIC),Ramp rate,Plateau duration,I_Q_circ,MIITS_circ,I_Earth_max,EE analysis,V feeler analysis,U_EE_max_ODD,U_EE_max_EVEN,Position,I_Q_M,Nr in Q event,Delta_t(iQPS-PIC),nQPS crate name,Delta_t(nQPS-PIC),Type of Quench,Quench origin,Quench count,QDS trigger origin,dU_iQPS/dt,V_symm_max,dV_symm/dt,R_DL_max,I at R_DL_max,QH analysis,Short magnet ID,Manufacturer,Inner cable type,Outer cable type,I_Q_SM18,dI_Q_Acc,dI_Q_LHC,Comment,Analysis performed by,lhcsmapi version,lhcsm notebook version,Unnamed: 46,Unnamed: 47,timestamp_fgc
356,360,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,A18R3,,85,,,,,,,iQPS,,,,,,,2080.0,2.0,01B,02K,10965,-,,2008 Accident in S34,,,,,,
357,361,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,C17R3,,86,,,,,,,iQPS,,,,,,,1113.0,1.0,01B,02B5,11483,-,,2008 Accident in S34,,,,,,
358,362,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,B17R3,,87,,,,,,,iQPS,,,,,,,1181.0,1.0,01B,02B5,12226,-,,2008 Accident in S34,,,,,,
359,363,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,A34R3,,88,,,,,,,iQPS,,,,,,,2177.0,2.0,01B,02C0,10986,-,,2008 Accident in S34,,,,,,
360,364,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,A11L4,,89,,,,,,,iQPS,,,,,,,2085.0,2.0,01B,02K,11527,-,,2008 Accident in S34,,,,,,
361,365,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,B15L4,,90,,,,,,,iQPS,,,,,,,2053.0,2.0,01B,02K,11838,-,,2008 Accident in S34,,,,,,
362,366,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,B17L4,,91,,,,,,,iQPS,,,,,,,2110.0,2.0,01B,02B5,11449,-,,2008 Accident in S34,,,,,,
363,367,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,B16L4,,92,,,,,,,iQPS,,,,,,,2097.0,2.0,01B,02B5,11903,-,,2008 Accident in S34,,,,,,
364,368,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,C20L4,,93,,,,,,,iQPS,,,,,,,3089.0,3.0,01B,02G,11054,-,,2008 Accident in S34,,,,,,
365,369,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,B31L4,,94,,,,,,,iQPS,,,,,,,2106.0,2.0,01B,02B5,12139,-,,2008 Accident in S34,,,,,,
366,370,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,C13L4,,95,,,,,,,iQPS,,,,,,,3101.0,3.0,01B,02G,9028,-,,2008 Accident in S34,,,,,,
367,371,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,A20L4,,96,,,,,,,iQPS,,,,,,,3151.0,3.0,01B,02G,11485,-,,2008 Accident in S34,,,,,,
368,372,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,C17L4,,97,,,,,,,iQPS,,,,,,,2169.0,2.0,01B,02C0,10820,-,,2008 Accident in S34,,,,,,
369,373,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,C23L4,,98,,,,,,,iQPS,,,,,,,2170.0,2.0,01B,02C0,11565,-,,2008 Accident in S34,,,,,,
370,374,RB.A34,RB,HWC 2008,2008-09-19 00:00:00,11:18:36,Heater-provoked,,,,,,,,,,,,,,B14L4,,99,,,,,,,iQPS,,,,,,,1079.0,1.0,01B,02B5,12193,-,,2008 Accident in S34,,,,,,
371,375,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,A15L4,3506.0,1,,,,EM disturbance,,,iQPS,25,,,,,,3396.0,3.0,01B,02D,10003,-,,Noise on U_UJ33,,,,,,1.26642896976e+18
372,376,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,C15L4,3506.0,2,,,,EM disturbance,,,iQPS,33.33,,,,,,2072.0,2.0,01B,02K,12525,-,,,,,,,,1.26642896976e+18
373,377,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,B18L4,3506.0,3,,,,EM disturbance,,,iQPS,50,,,,,,1069.0,1.0,01B,02B5,11489,-,,,,,,,,1.26642896976e+18
374,378,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,B33R3,3506.0,4,,,,EM disturbance,,,iQPS,16.67,,,,,,2192.0,2.0,01B,02C0,10734,-,,,,,,,,1.26642896976e+18
375,379,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,C33L4,3506.0,5,,,,EM disturbance,,,iQPS,40,,,,,,2101.0,2.0,01B,02B5,10372,-,,,,,,,,1.26642896976e+18
376,380,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,B32L4,3506.0,6,,,,EM disturbance,,,iQPS,,,,,,,3080.0,3.0,01B,02K,10540,-,,,,,,,,1.26642896976e+18
377,381,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,C25L4,3506.0,7,,,,EM disturbance,,,iQPS,,,,,,,1245.0,1.0,01B,02B8,12375,-,,,,,,,,1.26642896976e+18
378,382,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,A33L4,3506.0,8,,,,EM disturbance,,,iQPS,,,,,,,1178.0,1.0,01B,02B5,12097,-,,,,,,,,1.26642896976e+18
379,383,RB.A34,RB,HWC 2010,2010-02-17 00:00:00,18:49:29,QPS trip,,,,,,,,,,,,,,B14L4,3506.0,9,,,,EM disturbance,,,iQPS,,,,,,,1079.0,1.0,01B,02B5,12193,-,,,,,,,,1.26642896976e+18
380,384,RB.A34,RB,HWC 2010,2010-02-18 00:00:00,00:44:34,QPS trip,,,,,,,,,,,,,,B9L4,942.0,1,,,,EM disturbance,,,iQPS,,,,,,,3108.0,3.0,01B,02G,11162,-,,,,,,,,1.26645027468e+18
381,385,RB.A34,RB,HWC 2010,2010-02-18 00:00:00,00:44:34,QPS trip,,,,,,,,,,,,,,A15L4,942.0,2,,,,EM disturbance,,,iQPS,,,,,,,3396.0,3.0,01B,02D,10003,-,,,,,,,,1.26645027468e+18
382,386,RB.A34,RB,HWC 2010,2010-02-18 00:00:00,00:44:34,QPS trip,,,,,,,,,,,,,,C15L4,942.0,3,,,,EM disturbance,,,iQPS,,,,,,,2072.0,2.0,01B,02K,12525,-,,,,,,,,1.26645027468e+18
383,387,RB.A34,RB,HWC 2010,2010-02-18 00:00:00,00:44:34,QPS trip,,,,,,,,,,,,,,B14L4,942.0,4,,,,EM disturbance,,,iQPS,,,,,,,1079.0,1.0,01B,02B5,12193,-,,PM file starts registering 4 sec after quench,,,,,,1.26645027468e+18
384,388,RB.A34,RB,HWC 2015,2015-03-02 00:00:00,07:41:26,Spurious heater firing,,,,,,,,,,,,,,C20L4,2000.0,1,-7.0,,,Heater-provoked,,,iQPS,,,,,,,3089.0,3.0,01B,02G,11054,-,,,,,,,,1.42527848668e+18
385,389,RB.A34,RB,HWC 2015,2015-03-13 00:00:00,09:53:22,Magnet quench,,,,,,,,,,,,,,C23L4,9907.0,1,-10.0,,,Training,INT,1.0,iQPS,5.473684210526279,0.1,,12,,,2170.0,2.0,01B,02C0,11565,-1658,,,,,,,,1.42623680238e+18
386,390,RB.A34,RB,HWC 2015,2015-03-13 00:00:00,09:53:22,Magnet quench,,,,,,,,,,,,,,B23L4,6864.0,2,37062.0,,,GHe propagation,,,iQPS,0.8055555555555516,0.1,,6,,,1643.0,1.0,01B,02C8,11266,-,,,,,,,,1.42623680238e+18
387,391,RB.A34,RB,HWC 2015,2015-03-13 00:00:00,09:53:22,Magnet quench,,,,,,,,,,,,,,A23L4,6830.0,3,37490.0,,,GHe propagation,,,iQPS,3.2857142857142305,0.1,,3,,,1250.0,1.0,01B,02B8,12473,-,,,,,,,,1.42623680238e+18
388,392,RB.A34,RB,HWC 2015,2015-03-13 00:00:00,09:53:22,Magnet quench,,,,,,,,,,,,,,C22L4,2077.0,4,147499.0,,,GHe propagation,,,iQPS,0.06145741878841093,0.1,0.0333333333333333,6,,,2105.0,2.0,01B,02B5,10720,-,,,,,,,,1.42623680238e+18
389,393,RB.A34,RB,HWC 2015,2015-03-13 00:00:00,18:32:12,Magnet quench,,,,,,,,,,,,,,A20R3,10056.0,1,-8.0,,,Training,EXT,2.0,iQPS,4.3478260869565215,0.0,,11,,,3152.0,3.0,01B,02G,12647,-2591,,,,,,,,1.426267932e+18
390,394,RB.A34,RB,HWC 2015,2015-03-13 00:00:00,18:32:12,Magnet quench,,,,,,,,,,,,,,B20R3,5995.0,2,51615.0,,,GHe propagation,,,iQPS,0.5,0.15,0.7499999999999999,7,,,1130.0,1.0,01B,02B5,12122,-,,,,,,,,1.426267932e+18
391,395,RB.A34,RB,HWC 2015,2015-03-13 00:00:00,18:32:12,Magnet quench,,,,,,,,,,,,,,C20R3,4820.0,3,72180.0,,,GHe propagation,,,iQPS,0.2,0.1,0.25,8,,,2054.0,2.0,01B,02K,11707,-,,,,,,,,1.426267932e+18
392,396,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,06:48:17,Magnet quench,,,,,,,,,,,,,,A17R3,10124.0,1,-9.0,,,Training,INT,3.0,iQPS,6.055555555555625,,,24,,,3155.0,3.0,01B,02G,11080,-956,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.4263120978e+18
393,397,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,06:48:17,Magnet quench,,,,,,,,,,,,,,B17R3,6606.0,2,42963.0,,,GHe propagation,,,iQPS,0.8333333333333333,,,12,,,1181.0,1.0,01B,02B5,12226,-,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.4263120978e+18
394,398,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,06:48:17,Magnet quench,,,,,,,,,,,,,,C17R3,6564.0,3,43581.0,,,GHe propagation,,,iQPS,2.3902439024390287,,,19,,,1113.0,1.0,01B,02B5,11483,-,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.4263120978e+18
395,399,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,06:48:17,Magnet quench,,,,,,,,,,,,,,C16R3,980.0,4,217107.0,,,GHe propagation,,,iQPS,0.04170212765957446,0.1,0.03125,8,,,2123.0,2.0,01B,02B5,6245,-,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.4263120978e+18
396,400,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,18:42:11,Magnet quench,,,,,,,,,,,,,,A29L4,10454.0,1,-9.0,,,Training,INT,4.0,iQPS,4,,,14.5,,,3142.0,3.0,01B,02G,10436,18,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.42635493106e+18
397,401,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,18:42:11,Magnet quench,,,,,,,,,,,,,,B29L4,4722.0,2,77677.0,,,GHe propagation,,,iQPS,2.857142857142857,,,4.6,,,1239.0,1.0,01B,02B5,11786,-,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.42635493106e+18
398,402,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,18:42:11,Magnet quench,,,,,,,,,,,,,,C28L4,3758.0,3,98761.0,,,GHe propagation,,,iQPS,0.16363636363636364,,,7,,,2104.0,2.0,01B,02B5,11442,-,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.42635493106e+18
399,403,RB.A34,RB,HWC 2015,2015-03-14 00:00:00,18:42:11,Magnet quench,,,,,,,,,,,,,,C29L4,2659.0,4,130001.0,,,GHe propagation,,,iQPS,0.125,,,7,,,1087.0,1.0,01B,02B5,12547,-,,"UA43, body1 is long >2h30! Very noisy in UJ33",,,,,,1.42635493106e+18
400,404,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,03:30:29,Magnet quench,,,,,,,,,,,,,,B28L4,10508.0,1,-7.0,,,Training,INT,5.0,iQPS,0.5,,,21,,,3111.0,3.0,01B,02G,10847,-339,,"UA43, body1 is long >2h30!",,,,,,1.42638662916e+18
401,405,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,03:30:29,Magnet quench,,,,,,,,,,,,,,A28L4,6422.0,2,48848.0,,,GHe propagation,,,iQPS,0.4,,,6.5,,,2086.0,2.0,01B,02K,11825,-,,"UA43, body1 is long >2h30!",,,,,,1.42638662916e+18
402,406,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,03:30:29,Magnet quench,,,,,,,,,,,,,,C28L4,6375.0,3,49592.0,,,GHe propagation,,,iQPS,2,,,8.5,,,2104.0,2.0,01B,02B5,11442,-,,"UA43, body1 is long >2h30!",,,,,,1.42638662916e+18
403,407,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,03:30:29,Magnet quench,,,,,,,,,,,,,,A29L4,5155.0,4,168975.0,,,GHe propagation,,,iQPS,,,,15,,,3142.0,3.0,01B,02G,10436,-,,"UA43, body1 is long >2h30!",,,,,,1.42638662916e+18
404,408,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,13:48:03,Magnet quench,,,,,,,,,,,,,,B26L4,10711.0,1,-6.0,,,Training,INT,6.0,iQPS,4.545454545454546,,,8,,,3402.0,3.0,01B,02D,12014,-1303,,,,,,,,1.42642368374e+18
405,409,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,13:48:03,Magnet quench,,,,,,,,,,,,,,A26L4,6671.0,2,47123.0,,,GHe propagation,,,iQPS,0.8695652173913043,,,38,,,2119.0,2.0,01B,02B5,11429,-,,,,,,,,1.42642368374e+18
406,410,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,13:48:03,Magnet quench,,,,,,,,,,,,,,C26L4,6157.0,3,54693.0,,,GHe propagation,,,iQPS,2.2222222222222223,0.01,0.0999999999999999,11,,,2078.0,2.0,01B,02K,11895,-,,,,,,,,1.42642368374e+18
407,411,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,13:48:03,Magnet quench,,,,,,,,,,,,,,B9L4,6101.0,4,55548.0,,,Unknown,,,nQPS,20,1.3,16.25,12,,,3108.0,3.0,01B,02G,11162,-,,Huge spike on derivative of I_MEAS. Earth problem!,,,,,,1.42642368374e+18
408,412,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,13:48:03,Magnet quench,,,,,,,,,,,,,,B8L4,6084.0,5,55803.0,,,EM disturbance,,,nQPS,5,1.3,16.25,5,,,2196.0,2.0,01B,02C0,11088,-,,Huge spike on derivative of I_MEAS. Earth problem!,,,,,,1.42642368374e+18
409,413,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,13:48:03,Magnet quench,,,,,,,,,,,,,,A8L4,3025.0,6,118328.0,,,GHe propagation,,,iQPS,0.33333333333333337,0.25,0.2272727272727272,45,,,2091.0,2.0,01B,02K,11983,-,,,,,,,,1.42642368374e+18
410,414,RB.A34,RB,HWC 2015,2015-03-15 00:00:00,13:48:03,Magnet quench,,,,,,,,,,,,,,A9L4,1876.0,7,159848.0,,,GHe propagation,,,iQPS,0.125,0.17,0.0425,20,,,2115.0,2.0,01B,02B5,10700,-,,,,,,,,1.42642368374e+18
411,415,RB.A34,RB,HWC 2015,2015-03-17 00:00:00,21:15:53,Magnet quench,,,,,,,,,,,,,,A20L4,10776.0,1,-7.0,,,Training,INT,7.0,iQPS,6.666666666666667,,,,,,3151.0,3.0,01B,02G,11485,-709,,"nQPS PM buffer sending enabled, therefore no logging",,,,,,1.42662335316e+18
412,416,RB.A34,RB,HWC 2015,2015-03-17 00:00:00,21:15:53,Magnet quench,,,,,,,,,,,,,,B20L4,6242.0,2,52725.0,,,GHe propagation,,,iQPS,4,0.15,3.75,,,,1070.0,1.0,01B,02B5,11959,-,,"nQPS PM buffer sending enabled, therefore no logging",,,,,,1.42662335316e+18
413,417,RB.A34,RB,HWC 2015,2015-03-17 00:00:00,21:15:53,Magnet quench,,,,,,,,,,,,,,C20L4,6196.0,3,53373.0,,,GHe propagation,,,iQPS,2,,,,,,3089.0,3.0,01B,02G,11054,-,,"nQPS PM buffer sending enabled, therefore no logging",,,,,,1.42662335316e+18
414,418,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,07:58:53,Magnet quench,,,,,,,,,,,,,,B29L4,10882.0,1,-10.0,,,Training,INT,8.0,iQPS,5,,,7,,,1239.0,1.0,01B,02B5,11786,-904,,,,,,,,1.42666193364e+18
415,419,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,07:58:53,Magnet quench,,,,,,,,,,,,,,C29L4,10882.0,2,208.0,,,EM disturbance,,,iQPS,,,,14,,,1087.0,1.0,01B,02B5,12547,-,,,,,,,,1.42666193364e+18
416,420,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,07:58:53,Magnet quench,,,,,,,,,,,,,,A29L4,10882.0,3,215.0,,,EM disturbance,,,iQPS,,,,17,,,3142.0,3.0,01B,02G,10436,-,,,,,,,,1.42666193364e+18
417,421,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,07:58:53,Magnet quench,,,,,,,,,,,,,,C28L4,4291.0,4,88620.0,,,GHe propagation,,,iQPS,0.2,0.1,0.2,7,,,2104.0,2.0,01B,02B5,11442,-,,,,,,,,1.42666193364e+18
418,422,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,07:58:53,Magnet quench,,,,,,,,,,,,,,A30L4,1431.0,5,186349.0,,,GHe propagation,,,iQPS,0.057692307692307696,0.1,0.05,7,,,2067.0,2.0,01B,02K,10875,-,,,,,,,,1.42666193364e+18
419,423,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,07:58:53,Magnet quench,,,,,,,,,,,,,,A28L4,1204.0,6,186492.0,,,GHe propagation,,,nQPS,0.3125,,,6,,,2086.0,2.0,01B,02K,11825,-,,,,,,,,1.42666193364e+18
420,424,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,07:58:53,Magnet quench,,,,,,,,,,,,,,B28L4,1203.0,7,202152.0,,,nQPS lost reference,,,iQPS,0.023809523809523808,0.1,0.015625,8,,,3111.0,3.0,01B,02G,10847,-,,,,,,,,1.42666193364e+18
421,425,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,20:50:20,Magnet quench,,,,,,,,,,,,,,B26L4,10950.0,1,-10.0,,,Training,EXT,9.0,iQPS,5.88235294117647,,,2,,,3402.0,3.0,01B,02D,12014,-1064,,,,,,,,1.42670822038e+18
422,426,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,20:50:20,Magnet quench,,,,,,,,,,,,,,A26L4,6880.0,2,46187.0,,,GHe propagation,,,iQPS,1,0.1,1.25,0.8,,,2119.0,2.0,01B,02B5,11429,-,,,,,,,,1.42670822038e+18
423,427,RB.A34,RB,HWC 2015,2015-03-18 00:00:00,20:50:20,Magnet quench,,,,,,,,,,,,,,C26L4,6471.0,3,52157.0,,,GHe propagation,,,iQPS,0.6666666666666667,,,0.8,,,2078.0,2.0,01B,02K,11895,-,,,,,,,,1.42670822038e+18
424,428,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,08:41:47,Magnet quench,,,,,,,,,,,,,,A9L4,10976.0,1,-10.0,,,Training,EXT,10.0,iQPS,10.18181818181807,,,35,,,2115.0,2.0,01B,02B5,10700,276,,,,,,,,1.42675090716e+18
425,429,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,08:41:47,Magnet quench,,,,,,,,,,,,,,B9L4,8082.0,2,30861.0,,,GHe propagation,,,iQPS,2.666666666666626,,,16,,,3108.0,3.0,01B,02G,11162,-,,,,,,,,1.42675090716e+18
426,430,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,08:41:47,Magnet quench,,,,,,,,,,,,,,B8L4,2865.0,3,126677.0,,,GHe propagation,,,iQPS,0.14840989399293292,,,23,,,2196.0,2.0,01B,02C0,11088,-,,,,,,,,1.42675090716e+18
427,431,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,17:19:24,Magnet quench,,,,,,,,,,,,,,B9R3,10896.0,1,-6.0,,,Training,EXT,11.0,iQPS,8.333333333333334,,,18,,,2176.0,2.0,01B,02C0,10977,-81,,,,,,,,1.42678196404e+18
428,432,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,17:19:24,Magnet quench,,,,,,,,,,,,,,A9R3,7544.0,2,36868.0,,,GHe propagation,,,iQPS,4.545454545454546,,,14,,,2127.0,2.0,01B,02B5,11374,-,,,,,,,,1.42678196404e+18
429,433,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,17:19:24,Magnet quench,,,,,,,,,,,,,,A10R3,5060.0,3,74615.0,,,GHe propagation,,,iQPS,0.2777777777777778,0.1,1.6666666666666667,7,,,2073.0,2.0,01B,02K,11894,-,,,,,,,,1.42678196404e+18
430,434,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,17:19:24,Magnet quench,,,,,,,,,,,,,,A8R3,5040.0,4,74709.0,,,GHe propagation,,,iQPS,,,,,,,2117.0,2.0,01B,02B5,11851,-,,,,,,,,1.42678196404e+18
431,435,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,17:19:24,Magnet quench,,,,,,,,,,,,,,B10R3,3020.0,5,120612.0,,,GHe propagation,,,iQPS,0.6666666666666667,0.1,0.1,7,,,2175.0,2.0,01B,02C0,11262,-,,,,,,,,1.42678196404e+18
432,436,RB.A34,RB,HWC 2015,2015-03-19 00:00:00,17:19:24,Magnet quench,,,,,,,,,,,,,,B8R3,3010.0,6,120809.0,,,GHe propagation,,,iQPS,0.5,,,6,,,3077.0,3.0,01B,02K,10513,-,,,,,,,,1.42678196404e+18
433,437,RB.A34,RB,HWC 2015,2015-03-20 00:00:00,12:51:11,Magnet quench,,,,,,,,,,,,,,B25L4,11031.0,1,-9.0,,,Training,EXT,12.0,iQPS,6.67,,,25,,,2090.0,2.0,01B,02K,10787,244,,,,,,,,1.4268522717e+18
434,438,RB.A34,RB,HWC 2015,2015-03-20 00:00:00,12:51:11,Magnet quench,,,,,,,,,,,,,,A25L4,8129.0,2,30944.0,,,GHe propagation,,,iQPS,0.95,,,22,,,3104.0,3.0,01B,02G,12845,-,,,,,,,,1.4268522717e+18
435,439,RB.A34,RB,HWC 2015,2015-03-20 00:00:00,12:51:11,Magnet quench,,,,,,,,,,,,,,C25L4,7782.0,3,35119.0,,,GHe propagation,,,iQPS,2.85,,,6.5,,,1245.0,1.0,01B,02B8,12375,-,,,,,,,,1.4268522717e+18
436,440,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Magnet quench,,,,,,,,,,,,,,A19L4,11065.0,1,-10.0,,,Training,INT,13.0,iQPS,7.692307692307693,,,20,,,2079.0,2.0,01B,02K,11970,-905,,,,,,,,1.42690544106e+18
437,441,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Magnet quench,,,,,,,,,,,,,,B19L4,5592.0,2,66734.0,,,GHe propagation,,,iQPS,1.25,,,25,,,3085.0,3.0,01B,02K,12600,-,,,,,,,,1.42690544106e+18
438,442,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Magnet quench,,,,,,,,,,,,,,C18L4,5470.0,3,68765.0,,,GHe propagation,,,iQPS,0.24,,,9,,,2045.0,2.0,01B,02K,11644,-,,,,,,,,1.42690544106e+18
439,443,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Magnet quench,,,,,,,,,,,,,,B18L4,3183.0,4,117751.0,,,GHe propagation,,,iQPS,0.17,0.13,0.1181818181818181,5,,,1069.0,1.0,01B,02B5,11489,-,,,,,,,,1.42690544106e+18
440,444,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Magnet quench,,,,,,,,,,,,,,C19L4,2307.0,5,146505.0,,,GHe propagation,,,iQPS,0.09000000000000001,0.1,0.1,17,,,2174.0,2.0,01B,02C0,11275,-,,,,,,,,1.42690544106e+18
441,445,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,B9L4,832.0,6,234189.0,,,Short-to-ground,,,nQPS,,,,,,,3108.0,3.0,01B,02G,11162,-,,"after earth fault, triggered by DS on the 1st disappering of the short",,,,,,1.42690544106e+18
442,446,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,A13L4,832.0,7,234189.0,,,Short-to-ground,,,nQPS,,,,,,,2120.0,2.0,01B,02B5,11562,-,,"after earth fault, triggered by DS on the 1st disappering of the short",,,,,,1.42690544106e+18
443,447,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,A15L4,832.0,8,234189.0,,,Short-to-ground,,,nQPS,,,,,,,3396.0,3.0,01B,02D,10003,-,,"after earth fault, triggered by DS on the 1st disappering of the short",,,,,,1.42690544106e+18
444,448,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,C15L4,832.0,9,234190.0,,,Short-to-ground,,,nQPS,,,,,,,2072.0,2.0,01B,02K,12525,-,,"after earth fault, triggered by DS on the 1st disappering of the short",,,,,,1.42690544106e+18
445,449,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,B10L4,828.0,10,234683.0,,,Short-to-ground,,,nQPS,,,,,,,2126.0,2.0,01B,02B5,11723,-,,"after earth fault, triggered by DS on the 2nd disappering of the short",,,,,,1.42690544106e+18
446,450,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,B14L4,828.0,11,234684.0,,,Short-to-ground,,,nQPS,,,,,,,1079.0,1.0,01B,02B5,12193,-,,"after earth fault, triggered by DS on the 2nd disappering of the short",,,,,,1.42690544106e+18
447,451,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,C13L4,828.0,12,234685.0,,,Short-to-ground,,,nQPS,,,,,,,3101.0,3.0,01B,02G,9028,-,,"after earth fault, triggered by DS on the 2nd disappering of the short",,,,,,1.42690544106e+18
448,452,RB.A34,RB,HWC 2015,2015-03-21 00:00:00,03:37:21,Converter trip,,,,,,,,,,,,,,B8L4,826.0,13,234883.0,,,Short-to-ground,,,nQPS,,,,,,,2196.0,2.0,01B,02C0,11088,-,,"after earth fault, triggered by DS on the 2nd disappering of the short but with the delay about 200ms",,,,,,1.42690544106e+18
