,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7
272.4358974358996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49142628763663637
275.10683760683986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49396042599263207
277.77777777778005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49496921115054304
280.44871794872023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4906937631528998
283.1196581196604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4887707120664013
285.7905982906006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4931653238437057
288.4615384615408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5123222700311948
291.132478632481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227049573050779
293.8034188034212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536313802347074
296.4743589743614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5492455113467025
299.1452991453016,0.0,0.0,0.0,0.0,0.019015080229767285,0.0,0.0,0.5019595658895326
301.81623931624176,0.0,0.0,0.0,0.0,0.026535644225179466,0.0,0.0,0.5156853642425535
304.48717948718195,0.0,0.0,0.0,0.0,0.03526427736769996,0.0,0.0,0.5053792637075013
307.15811965812213,0.0,0.0,0.0,0.0,0.03882919068598595,0.0,0.0,0.5033478981505619
309.8290598290624,0.0,0.0,0.0,0.0,0.04006121756663858,0.0,0.0,0.49938327585544506
312.50000000000256,0.0,0.0,0.0,0.0,0.04162557933423761,0.0,0.0,0.49839480712825807
315.17094017094274,0.0,0.0,0.0,0.0,0.04194322690159424,0.0,0.0,0.516696198696219
317.8418803418829,0.0,0.0,0.0,0.0,0.04040922794697066,0.0,0.0,0.5241675309597671
320.5128205128231,0.0,0.0,0.0,0.0,0.034796488823126775,0.0,0.0,0.5251844467264662
323.1837606837633,0.0,0.0,0.0,0.0,0.025793209308282154,0.0,0.0,0.5170851712100103
325.85470085470354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5634354356347251
328.5256410256437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5327494520689859
331.19658119658385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145809783888756
333.8675213675241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496259716758686
336.5384615384643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48094008919275477
339.20940170940446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47155441439712903
341.88034188034464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4740120164764749
344.5512820512849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47459679926019377
347.222222222225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4733782065376363
349.89316239316526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4648236124915907
352.56410256410544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45962802104530603
355.2350427350456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46076629801407654
357.9059829059858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46332149561374564
360.57692307692605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4640745737355485
363.2478632478662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4595833199625085
365.9188034188064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4530964124579507
368.5897435897466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4465295768015093
371.2606837606868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4513284118234705
373.931623931627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45764060776346543
376.6025641025672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45518854149572735
379.27350427350734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449035819526273
381.9444444444476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4495036226678029
384.6153846153877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45655512932365405
387.28632478632795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4628228056267705
389.95726495726814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4625522222824758
392.62820512820826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4605473594103582
395.2991452991485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4604868753407028
397.9700854700887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634076876197239
400.6410256410289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4692051553215578
403.31196581196906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4723078716687106
405.9829059829093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706128093853876
408.65384615384943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4670228366009077
411.32478632478967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46925595476830384
413.99572649572985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47389602707767664
416.66666666667004,0.0,0.0,0.0,6.180422226119382e-32,0.0,0.0,0.0,0.47281054529819266
419.3376068376102,0.0,0.0,0.0,2.352157878314355e-32,0.0,0.0,0.0,0.47661246488580883
422.00854700855047,0.0,0.0,0.0,2.3637916604162298e-31,0.0,0.0,0.0,0.47294882890392037
424.6794871794906,0.0,0.0,0.0,6.817071229203026e-32,0.0,0.0,0.0,0.4777582356493818
427.35042735043083,0.0,0.0,0.0,5.016279707588721e-32,0.0,0.0,0.0,0.48240472879755764
430.021367521371,0.0,0.0,0.0,2.0977192004833196e-31,0.0,0.0,0.0,0.4779552386283214
432.6923076923112,0.0,0.0,0.0,4.2215477339276926e-32,0.0,0.0,0.0,0.4721858798846019
435.3632478632514,0.0,0.0,0.0,6.054180702109449e-32,0.0,0.0,0.0,0.45774324450861287
438.03418803419163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543281017715964
440.70512820513176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45076350757343514
443.376068376072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4468771177864229
446.0470085470122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4435509406112893
448.71794871795237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4350204693616318
451.38888888889255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42602371616619933
454.0598290598328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4288792826240068
456.7307692307729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4288055900449939
459.40170940171316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286190428456107
462.0726495726533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4237170798018467
464.74358974359353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4208004103500453
467.4145299145337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42576603301886395
470.08547008547396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305807053724935
472.7564102564141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43056347803095224
475.4273504273543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4242550748957917
478.09829059829445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4256420958380847
480.7692307692347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42488684726811976
483.4401709401749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42923595760881994
486.1111111111151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4295982041787233
488.78205128205525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4229036922452738
491.45299145299543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420393484239548
494.1239316239356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196633800349642
496.7948717948758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296682346768667
499.46581196581604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42750391679759814
502.1367521367562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4258087861945649
504.8076923076964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42291893736169434
507.4786324786366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42160370346732723
510.1495726495768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286015269542026
512.8205128205169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43025270487183415
515.4914529914572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4267891630715721
518.1623931623974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42227333794910055
520.8333333333376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214961555400508
523.5042735042778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42368887077428885
526.175213675218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297115303921031
528.8461538461581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43423806928811853
531.5170940170983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4259147474941857
