,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,start_time,min_time,max_time,min_amplitude,max_amplitude,dU_max,dU_min,dstd_max,dstd_mean,el_peak12_ratio,n_other_quenches,dstd_score_pos_15,dstd_score_elpos_15,dstd_score_pos_15_exp,dstd_score_elpos_15_exp,dstd_score_pos_15_tuk,dstd_score_elpos_15_tuk,wiggle_magnets,wiggle_area_pos,wiggle_area_elpos
2006,RB,RB.A34,1.61972824208e+18,A20L4,2.0,91.162,0.09899999999998954,1.8999999999999915,0.033798128763834256,0.02901186625162744,0.03127098083496094,-0.07675647735595703,0.02009219079934101,0.01317674417555735,1.0833181326821337,0.0,0.9330510996795932,1.0320161418710876,0.8248919265506381,0.8786124442225381,0.9729542168535451,0.9855423403518214,1.0,10.0,15.0
2007,RB,RB.A34,1.61972824208e+18,B21L4,3.0,159.857,0.20400000000000773,1.9050000000000011,0.01345071856607527,0.026812975838680586,0.03221893310546875,-0.04453754425048828,0.014815440545383632,0.011190107415622933,1.0088197667969119,0.0,1.0013721356880598,0.9791294693937962,1.0121133640469786,0.9662189380843106,0.9976580528249466,0.9724414527909984,7.0,26.0,18.0
2009,RB,RB.A12,1.61973014052e+18,B27L2,0.0,29.422,0.0,1.8999999999999986,0.0467006030835595,0.03228983753605874,0.03790473937988281,-0.02274322509765625,0.012878368977697695,0.006136902079644007,1.0084752010786735,0.0,1.0889862617402788,0.8277942626436274,1.2918250589941052,0.727720823675333,1.1772811669146703,0.8554871857154065,3.0,19.0,12.0
2010,RB,RB.A12,1.61973014052e+18,A27L2,1.0,51.118,0.1039999999999992,1.9029999999999987,0.0634424639063953,0.031091778483611776,0.07249069213867188,-0.1212921142578125,0.03439522841056528,0.021218446789907475,0.0,0.0,1.0819543194177066,0.997149934114674,1.2139754032094872,1.260401239921005,1.0527731373726839,0.9894925583683086,0.0,10.0,10.0
2011,RB,RB.A12,1.61973014052e+18,C26L2,2.0,121.321,0.10000000000000853,1.7960000000000065,0.017224483489990394,0.027979946136474698,0.028428077697753906,-0.07201766967773438,0.020976885367460545,0.01337123909355211,1.0183905325430802,0.0,1.0273964053964046,1.0223887919687618,1.007745251904766,0.9837385842877043,1.0501767807844353,1.0146172295073796,5.0,14.0,37.0
2012,RB,RB.A12,1.61973014052e+18,B26L2,3.0,189.421,0.30000000000001137,1.9010000000000105,0.01489134282873783,0.026376961061618465,0.031744956970214844,-0.022268295288085938,0.012617334618387287,0.007375813768292582,1.0139057795279391,0.0,0.9919606272120055,0.9730783440077665,0.9811617132221437,0.970638339913455,0.9756979964734774,0.9703266284050651,5.0,11.0,11.0
2014,RB,RB.A45,1.61976069938e+18,B22R4,0.0,45.761,0.10099999999999909,1.9009999999999962,0.02215335243626626,0.020706998674492993,0.036482810974121094,-0.059699058532714844,0.016549918181396225,0.010636332289624236,1.0010326969726657,0.0,0.9845946317737876,0.9874946252197717,0.9954635257204364,0.9776219972489445,0.9858914042753761,0.9710792816558442,4.0,8.0,7.0
2015,RB,RB.A45,1.61976069938e+18,C22R4,1.0,79.461,0.09700000000000841,1.801000000000002,0.023347772509846543,0.025236818174652953,0.03600883483886719,-0.07249164581298828,0.01966988135202527,0.0146024707188582,1.0292597387481548,0.0,0.9280753694401084,1.0738178165581902,0.8542492434425362,1.0393131830811388,0.9424496930078843,1.0317134199807367,0.0,8.0,14.0
2016,RB,RB.A45,1.61976069938e+18,C21R4,2.0,110.557,0.1039999999999992,1.7039999999999935,0.021914819081624515,0.023089516957600864,0.03885173797607422,-0.06870079040527344,0.018896236621817844,0.01472641986948267,1.0151394070193787,0.0,1.0179489071260712,0.9280042558733993,1.1144576460108973,1.0139059842164946,0.9963591241840636,0.9363587938810041,0.0,10.0,14.0
2018,RB,RB.A34,1.61976296876e+18,B8R3,0.0,29.282,0.0990000000000002,1.8949999999999996,0.031815924142536645,0.02601233281587234,0.041220664978027344,-0.024637222290039062,0.01588343848456596,0.006125385747398499,1.000329800829643,0.0,1.111245758336664,1.2185447593316128,1.6519531545791022,1.144816821590734,1.2594945538368947,1.0950031143464471,8.0,7.0,11.0
2019,RB,RB.A34,1.61976296876e+18,A9R3,1.0,96.178,0.10300000000000864,1.9039999999999964,0.017141601107767634,0.013931647041775186,0.04453754425048828,-0.06064605712890625,0.020255088499453063,0.015964885515814663,1.0003026906495354,0.0,1.0116732742205043,0.9964534822309978,1.0116481343776216,1.0496410661422142,1.0088060903207081,1.0057131382835292,9.0,6.0,1.0
2020,RB,RB.A34,1.61976296876e+18,B9R3,2.0,142.981,0.19700000000000273,1.9010000000000105,0.014046586354573787,0.01601454416910819,0.03269195556640625,-0.04121971130371094,0.015162403992473341,0.011173182379389418,1.002870197823577,0.0,1.00283813998398,1.0553404958680295,0.9802984491255124,1.023726496454431,1.0129862905594014,1.0472984002422203,7.0,5.0,17.0
2022,RB,RB.A45,1.6198009413e+18,B11L5,0.0,103.937,0.10500000000000398,1.9050000000000011,0.01820029083051189,0.01657706812808346,0.04738044738769531,-0.06727981567382812,0.02097617361099948,0.016336927718242945,1.014229541711636,0.0,0.9445403811610933,1.0540654942259022,0.9393136129100136,1.061462224189768,0.9578691093443975,1.07512580583262,6.0,9.0,12.0
2024,RB,RB.A12,1.61980454328e+18,C15R1,0.0,34.962,0.2989999999999995,1.8989999999999938,0.025030066635434167,0.03197353565140304,0.04453849792480469,-0.06680583953857422,0.019130771477916135,0.01694405888709422,1.0072767753124099,1.0,0.9703704376308144,0.9995389182290141,0.9495972630706278,0.9994618753182859,0.971833306009677,1.008872403429782,4.0,10.0,16.0
