,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,min_time,max_time,min_amplitude,max_amplitude,dstd_max,dU_max,dU_min,dstd_mean,dstd_score_pos_15,dstd_score_elpos_15,dstd_score_pos_15_exp,dstd_score_elpos_15_exp,dstd_score_pos_15_tuk,dstd_score_elpos_15_tuk,wiggle_area_pos,wiggle_area_elpos
75,RB,RB.A78,1.616826883e+18,B18R7,1.0,0.0,1.8960000000000008,0.04327861204841987,0.028158251023450376,0.029535271574715284,0.06917476654052734,-0.051171302795410156,0.00683878454973843,1.627928712525869,1.509724612542835,2.8337250024672085,1.8898814956578445,1.9929760416744042,1.6891430689976077,15.0,20.0
76,RB,RB.A78,1.616826883e+18,B20R7,2.0,0.10000000000000142,1.899000000000001,0.04266745885213297,0.02540194511413585,0.030549879008853347,0.06680583953857422,-0.0644378662109375,0.01622341917459309,0.969171395897386,1.0527654786146634,0.9324650168235352,1.0237918730551012,0.9458256902616254,1.0248961517655366,25.0,30.0
77,RB,RB.A78,1.616826883e+18,C20R7,3.0,0.0,1.8980000000000032,0.03006225304315535,0.02608102120009015,0.019982245169261104,0.05306529998779297,-0.03885173797607422,0.005695386581358565,1.0967585388325258,1.1909218246731827,1.1491915003138096,1.1972643904489586,1.0651241625887082,1.117644994783037,24.0,30.0
78,RB,RB.A78,1.616826883e+18,A18R7,4.0,0.10000000000000853,1.9000000000000057,0.030368175636342976,0.027006765612128447,0.027216122674216147,0.052117347717285156,-0.1108694076538086,0.022146090016942132,1.1221171601590212,0.9789376110361867,1.077185641435071,0.9262265464582756,1.0972652768285125,0.9712621527082069,27.0,18.0
79,RB,RB.A78,1.616826883e+18,B19R7,5.0,0.0,1.793999999999997,0.02033183688209128,0.02681357195588152,0.018574777490074912,0.052117347717285156,-0.0374298095703125,0.003949215330410958,1.1800184387489518,0.7025033820283435,1.7753606199264123,0.49296427602589404,1.4397027557625925,0.6770766216974754,17.0,15.0
80,RB,RB.A78,1.616826883e+18,A19R7,6.0,0.20399999999999352,1.8999999999999915,0.02554567271265462,0.022922062051707215,0.027923887734796378,0.036956787109375,-0.08765220642089844,0.019944281477470807,0.9821370902226375,0.9800973108247413,0.9696660566158168,0.9319766781137396,0.9666463398632483,0.9552374760800681,21.0,12.0
81,RB,RB.A78,1.616826883e+18,C19R7,7.0,0.0,1.899000000000001,0.02554567271265462,0.027124016860435862,0.014825894415257451,0.036956787109375,-0.024164199829101562,0.005758514130098518,0.8921059349393697,1.0803212057795628,0.9109294299987967,0.8647216819123859,0.9237457542538651,1.0082894062016707,17.0,15.0
82,RB,RB.A78,1.616826883e+18,A21R7,8.0,0.29999999999998295,1.899000000000001,0.017161965370178223,0.02088322242101026,0.01429273363016186,0.028902053833007812,-0.042168617248535156,0.007656376500839455,1.094983237839539,0.9881053145887326,1.071406235791667,0.9776969742246154,1.125431116048808,0.9925408603068299,25.0,17.0
84,RB,RB.A34,1.61683237444e+18,A26L4,0.0,0.2050000000000054,1.902000000000001,0.024998915822882495,0.025095582008361816,0.02377105125246247,0.0374298095703125,-0.08149337768554688,0.015057331236969252,0.9685472574105335,0.9524900338430771,1.0064741078845487,0.9175672883426923,0.9875827915389238,0.9709335392517092,11.0,12.0
85,RB,RB.A34,1.61683237444e+18,C26L4,1.0,0.1980000000000004,1.9029999999999987,0.020125824884073218,0.02263588305340658,0.020431099516479645,0.042641639709472656,-0.0739126205444336,0.01684681631161801,0.9610155641238325,0.98764797804616,1.0240280877301342,1.0053546109550404,0.980162003034155,0.9963680346592789,12.0,24.0
87,RB,RB.A34,1.61686556272e+18,B10R3,0.0,0.0,1.9040000000000035,0.02909161542591221,0.02944117784500122,0.015369308333752637,0.042168617248535156,-0.02321624755859375,0.006303058905170303,1.045371293520766,1.1188882573235899,1.1931725102267592,1.190752049721647,1.1182982895291627,1.2687802251603204,6.0,7.0
