,n_components,beta_loss,f_window,cosine_dist,corrcoef,cophcorr_esim
64,11.0,frobenius,hanning,0.4302221819668426,0.33483496630841375,0.9401238305178968
65,11.0,frobenius,bartlett,0.35279938780491604,0.37269557158788913,0.8013492256589296
66,11.0,frobenius,blackman,0.41921698365299553,0.3510319799688414,0.9216436232458183
67,11.0,frobenius,flattop,0.3623024126630732,0.35071776546392336,0.9530475557091141
68,11.0,frobenius,hamming,0.35908281508631734,0.3617408479720158,0.7904565350876895
69,11.0,frobenius,tukey,0.3455229930451551,0.3772872141503837,0.7232859058822838
70,12.0,frobenius,ones,0.3115466091739283,0.4034051772610949,0.8309160566347473
71,12.0,frobenius,hanning,0.4339309526956784,0.3254097893098169,0.9509104037372929
72,12.0,frobenius,bartlett,0.3990248998883288,0.35552496413326706,0.8089881483364064
73,12.0,frobenius,blackman,0.44675051195831383,0.34660389444605016,0.9174756337101262
74,12.0,frobenius,flattop,0.3863966431263529,0.34833149558818444,0.9584832385027822
75,12.0,frobenius,hamming,0.36795853894650044,0.3654065109373652,0.8177951578881426
76,12.0,frobenius,tukey,0.38198672604784367,0.37360061755291707,0.7270854129300984
77,13.0,frobenius,ones,0.3481969797917458,0.3972871621288854,0.8376157062627655
78,13.0,frobenius,hanning,0.44828883809758985,0.3204406396453666,0.9517912941050062
79,13.0,frobenius,bartlett,0.39864544593271356,0.3498581592914531,0.8323747714673745
80,13.0,frobenius,blackman,0.4407540757970021,0.3432138851925647,0.9270193431087314
81,13.0,frobenius,flattop,0.37351290870135645,0.34924393987809704,0.9591506481805069
82,13.0,frobenius,hamming,0.41566377588314085,0.3594418762011389,0.8414197463003283
83,13.0,frobenius,tukey,0.3541473480430072,0.368445980332388,0.8153463146876404
84,14.0,frobenius,ones,0.3232752688711857,0.39610054848149884,0.8593675695551737
85,14.0,frobenius,hanning,0.4545177113100961,0.3199280498247728,0.9452204211270042
86,14.0,frobenius,bartlett,0.3957523996907353,0.3483597675986854,0.854914611479223
87,14.0,frobenius,blackman,0.43703332389914096,0.3382410797401342,0.9256741331114015
88,14.0,frobenius,flattop,0.39185321876810686,0.35109437637910956,0.961797603467439
89,14.0,frobenius,hamming,0.37005378753508283,0.3570042978736227,0.8601168967248918
90,14.0,frobenius,tukey,0.3867873621181054,0.36224780325078304,0.8384805759245689
91,15.0,frobenius,ones,0.3349935796731357,0.39138021703590387,0.8843740912911636
92,15.0,frobenius,hanning,0.4663012911990586,0.3140948723889734,0.9519750037242319
93,15.0,frobenius,bartlett,0.40184717514254764,0.35060422904996497,0.8796366845896598
94,15.0,frobenius,blackman,0.42869168431706656,0.3419677482448498,0.9345728846894947
95,15.0,frobenius,flattop,0.38028705158274134,0.34890687644070073,0.9658117112036536
96,15.0,frobenius,hamming,0.39621583497542656,0.355204722375244,0.8712544521305716
97,15.0,frobenius,tukey,0.40208864918538456,0.3562590460905724,0.8455640661370853
98,16.0,frobenius,ones,0.2789658303428437,0.38248315920928955,0.8967364683901308
99,16.0,frobenius,hanning,0.42233957879333206,0.32617611068214186,0.9586149869566568
100,16.0,frobenius,bartlett,0.39541020915152825,0.35096909160371315,0.8848678198765964
101,16.0,frobenius,blackman,0.41465436874521255,0.33284807513792125,0.9331041398584687
102,16.0,frobenius,flattop,0.41995819561860737,0.3478051321433405,0.9680211445450481
103,16.0,frobenius,hamming,0.41660474508255996,0.3462870107548785,0.8816922662476541
104,16.0,frobenius,tukey,0.40297061150645885,0.35553919032712633,0.7781780614718699
105,17.0,frobenius,ones,0.3078092407393834,0.3805896534805866,0.9046176534141186
106,17.0,frobenius,hanning,0.4199230344134942,0.32819209191738025,0.9052157897820673
107,17.0,frobenius,bartlett,0.3926472480011742,0.3410018034247164,0.8829863922027479
108,17.0,frobenius,blackman,0.42840928061786987,0.3413704861622096,0.9456508999908274
109,17.0,frobenius,flattop,0.42501232156238733,0.35582936053125547,0.969211641445248
110,17.0,frobenius,hamming,0.41071269640838676,0.3437842406718161,0.8873459154371274
111,17.0,frobenius,tukey,0.3797268887610936,0.36184010575209,0.8030901247926975
112,18.0,frobenius,ones,0.3078297477171207,0.3586030276589735,0.9100836266107967
113,18.0,frobenius,hanning,0.43975449136685285,0.3270942517343249,0.8896278918057432
114,18.0,frobenius,bartlett,0.39813378356747503,0.3425835837046198,0.901998216762612
115,18.0,frobenius,blackman,0.4147845226187391,0.3392608518611877,0.9449851397459027
116,18.0,frobenius,flattop,0.4113913229432803,0.35584127923864306,0.970131301259793
117,18.0,frobenius,hamming,0.4066121625384201,0.3514718983471962,0.891649483447149
118,18.0,frobenius,tukey,0.3943008142607087,0.3517188741032509,0.8169717518690135
119,19.0,frobenius,ones,0.32134005759844075,0.3617837792306611,0.9180799480512744
120,19.0,frobenius,hanning,0.43622089402067066,0.33018478680625035,0.883395242364127
121,19.0,frobenius,bartlett,0.4130363157536004,0.33785213484208604,0.8976409249705917
122,19.0,frobenius,blackman,0.4306248215935845,0.3389086050211167,0.8781033374125371
123,19.0,frobenius,flattop,0.3987767967320791,0.3477316030275902,0.9714646945178126
124,19.0,frobenius,hamming,0.4255108740289492,0.34603996195879316,0.9027188047381774
125,19.0,frobenius,tukey,0.3890141915827241,0.3551257295549711,0.8369546836000686
126,20.0,frobenius,ones,0.32032897259856796,0.36459701435905706,0.9154912097605965
127,20.0,frobenius,hanning,0.4325217240376351,0.3394503950656746,0.8883956456493699
128,20.0,frobenius,bartlett,0.42017171105831386,0.34156873331753884,0.9157550728911145
