,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,Circuit,#Segment
167,B17R2_0,DCBQ.16R2.R,MB.B16R2,MB.A17R2,3,4001.6701,4039.4601,B17R2,0,RB.A23,12
168,B17R2_1,DCBA.17R2.R,MB.A17R2,MB.C17R2,2,4039.4601,4070.7801,B17R2,1,RB.A23,13
169,B17R2_2,DCBA.A18R2.R,MB.C17R2,MB.B18R2,3,4070.7801,4108.5701,B17R2,2,RB.A23,14
170,B19R2_0,DCBQ.18R2.R,MB.B18R2,MB.A19R2,3,4108.5701,4146.3601,B19R2,0,RB.A23,15
171,B19R2_1,DCBA.19R2.R,MB.A19R2,MB.C19R2,2,4146.3601,4177.6801,B19R2,1,RB.A23,16
172,B19R2_2,DCBA.A20R2.R,MB.C19R2,MB.B20R2,3,4177.6801,4215.4701,B19R2,2,RB.A23,17
173,B21R2_0,DCBQ.20R2.R,MB.B20R2,MB.A21R2,3,4215.4701,4253.2601,B21R2,0,RB.A23,18
174,B21R2_1,DCBA.21R2.R,MB.A21R2,MB.C21R2,2,4253.2601,4284.5801,B21R2,1,RB.A23,19
175,B21R2_2,DCBA.A22R2.R,MB.C21R2,MB.B22R2,3,4284.5801,4322.3701,B21R2,2,RB.A23,20
176,B23R2_0,DCBQ.22R2.R,MB.B22R2,MB.A23R2,3,4322.3701,4360.1601,B23R2,0,RB.A23,21
177,B23R2_1,DCBA.23R2.R,MB.A23R2,MB.C23R2,2,4360.1601,4391.4801,B23R2,1,RB.A23,22
178,B23R2_2,DCBA.A24R2.R,MB.C23R2,MB.B24R2,3,4391.4801,4429.2701,B23R2,2,RB.A23,23
179,B25R2_0,DCBQ.24R2.R,MB.B24R2,MB.A25R2,3,4429.2701,4467.0601,B25R2,0,RB.A23,24
180,B25R2_1,DCBA.25R2.R,MB.A25R2,MB.C25R2,2,4467.0601,4498.3801,B25R2,1,RB.A23,25
181,B25R2_2,DCBA.A26R2.R,MB.C25R2,MB.B26R2,3,4498.3801,4536.1701,B25R2,2,RB.A23,26
182,B27R2_0,DCBQ.26R2.R,MB.B26R2,MB.A27R2,3,4536.1701,4573.9601,B27R2,0,RB.A23,27
183,B27R2_1,DCBA.27R2.R,MB.A27R2,MB.C27R2,2,4573.9601,4605.2801,B27R2,1,RB.A23,28
184,B27R2_2,DCBA.A28R2.R,MB.C27R2,MB.B28R2,3,4605.2801,4643.0701,B27R2,2,RB.A23,29
185,B29R2_0,DCBQ.28R2.R,MB.B28R2,MB.A29R2,3,4643.0701,4680.8601,B29R2,0,RB.A23,30
186,B29R2_1,DCBA.29R2.R,MB.A29R2,MB.C29R2,2,4680.8601,4712.1801,B29R2,1,RB.A23,31
187,B29R2_2,DCBA.A30R2.R,MB.C29R2,MB.B30R2,3,4712.1801,4749.9701,B29R2,2,RB.A23,32
188,B31R2_0,DCBQ.30R2.R,MB.B30R2,MB.A31R2,3,4749.9701,4787.7601,B31R2,0,RB.A23,33
189,B31R2_1,DCBA.31R2.R,MB.A31R2,MB.C31R2,2,4787.7601,4819.0801,B31R2,1,RB.A23,34
190,B31R2_2,DCBA.A32R2.R,MB.C31R2,MB.B32R2,3,4819.0801,4856.8701,B31R2,2,RB.A23,35
191,B33R2_0,DCBQ.32R2.R,MB.B32R2,MB.A33R2,3,4856.8701,4894.6601,B33R2,0,RB.A23,36
192,B33R2_1,DCBA.33R2.R,MB.A33R2,MB.C33R2,2,4894.6601,4925.9801,B33R2,1,RB.A23,37
193,B33R2_2,DCBA.A34R2.R,MB.C33R2,MB.B34R2,3,4925.9801,4963.7701,B33R2,2,RB.A23,38
194,B34L3_0,DCBQ.34R2.R,MB.B34R2,MB.C34L3,3,4963.7701,5001.5601,B34L3,0,RB.A23,39
195,B34L3_1,DCBA.34L3.R,MB.C34L3,MB.A34L3,2,5001.5601,5032.8801,B34L3,1,RB.A23,40
196,B32L3_0,DCBA.B33L3.R,MB.A34L3,MB.B33L3,3,5032.8801,5070.6701,B32L3,0,RB.A23,41
197,B32L3_1,DCBQ.32L3.R,MB.B33L3,MB.C32L3,3,5070.6701,5108.4601,B32L3,1,RB.A23,42
198,B32L3_2,DCBA.32L3.R,MB.C32L3,MB.A32L3,2,5108.4601,5139.7801,B32L3,2,RB.A23,43
199,B30L3_0,DCBA.B31L3.R,MB.A32L3,MB.B31L3,3,5139.7801,5177.5701,B30L3,0,RB.A23,44
200,B30L3_1,DCBQ.30L3.R,MB.B31L3,MB.C30L3,3,5177.5701,5215.3601,B30L3,1,RB.A23,45
201,B30L3_2,DCBA.30L3.R,MB.C30L3,MB.A30L3,2,5215.3601,5246.6801,B30L3,2,RB.A23,46
202,B28L3_0,DCBA.B29L3.R,MB.A30L3,MB.B29L3,3,5246.6801,5284.4701,B28L3,0,RB.A23,47
203,B28L3_1,DCBQ.28L3.R,MB.B29L3,MB.C28L3,3,5284.4701,5322.2601,B28L3,1,RB.A23,48
204,B28L3_2,DCBA.28L3.R,MB.C28L3,MB.A28L3,2,5322.2601,5353.5801,B28L3,2,RB.A23,49
205,B26L3_0,DCBA.B27L3.R,MB.A28L3,MB.B27L3,3,5353.5801,5391.3701,B26L3,0,RB.A23,50
206,B26L3_1,DCBQ.26L3.R,MB.B27L3,MB.C26L3,3,5391.3701,5429.1601,B26L3,1,RB.A23,51
